,,2026071215,2026071218,2026071221,2026071224,2026071303,2026071306,2026071309,2026071312,2026071315,2026071318,2026071321,2026071324,2026071403,2026071406,2026071409,2026071412,2026071415,2026071418,2026071421,2026071424
44132,2026/07/12 14:25, 280, 250, 240, 240, 230, 230, 260, 260, 270, 260, 250, 250, 240, 270, 300, 300, 310, 260, 260, 250
